Kode Pesanan,Status Pesanan,Status Terverifikasi,Waktu Pesanan,Waktu Pesanan Selesai,Waktu Pesanan Terverifikasi,Kode Produk,Nama Produk,ID Model,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Kode Promo,Harga(Rp),Jumlah,Nama Affiliate,Username Affiliate,MCN Terhubung,ID Komisi Pesanan,Partner Promo,Jenis Promo,Nilai Pembelian(Rp),Jumlah Pengembalian(Rp),Tipe Pesanan,Estimasi Komisi per Produk(Rp),Estimasi Komisi Affiliate per Produk(Rp),Persentase Komisi Affiliate per Produk,Estimasi Komisi MCN per Produk(Rp),Persentase Komisi MCN per Produk,Estimasi Komisi per Pesanan(Rp),Estimasi Komisi Affiliate per Pesanan(Rp),Estimasi Komisi MCN per Pesanan(Rp),Catatan Produk,Platform,Tingkat Komisi,Pengeluaran(Rp),Status Pemotongan,Metode Pemotongan,Waktu Pemotongan
2506107QGSUK4U,Sedang Diproses,Sah,2025-06-10 21:42:58,,,28555948012,Tas Pendingin Pemanas Makanan Cooler Heater Bag Thermal Insulated Bag,233023801710,Perlengkapan Rumah,Perlengkapan Dapur,Tempat Penyimpanan Makanan,,23800,1,xtend1234,xtend1234,,79104118,,Komisi Produk Penjual,23800,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
2506107MT8EEYA,Sedang Diproses,Sah,2025-06-10 20:54:35,,,27408827034,TaffSTUDIO Alas Putar Fotografi Suede Rotating 360 Turntable 20cm - QM104712,158759213263,Kamera & Drone,Aksesoris Kamera,Lighting & Perlengkapan Studio Foto,,130800,1,Holly Shop,mekanikashop,,79104407,,Komisi Produk Penjual,124260,0,Pesanan Langsung,8698.2,8698.2,7%,0,0%,8698.2,8698.2,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeelive-Shopee,7%,9655,Menunggu Pemotongan,,
2506107MBTT42T,Selesai,Sah,2025-06-10 20:46:30,2025-06-14 14:46:29,2025-06-14 14:46:29,26006118256,Aswei Cetakan Kotak Penyimpanan Es Batu Jelly Kotak Double Layer 48 Grid Quick Press Dengan Tutup dan Pegangan,187669090673,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,96000,1,Opera Norway,opear.adx,,79104175,,Komisi Produk Penjual,91200,0,Pesanan Tidak Langsung,0,0,7%,0,0%,0,0,0,,Others,7%,0,,,
2506107K8A1KAY,Sedang Diproses,Sah,2025-06-10 20:26:39,,,27205950510,[BISA COD] Taffhome Bel Pintu Rumah Tanpa Kabel 36 Nada Wireless Door Bell Waterproof EU Plug,236570580263,Elektronik,Kelistrikan,Bel,,65000,1,Opera Norway,opear.adx,,79104169,,Komisi Produk Penjual,65000,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
25061079ENHSAC,Selesai,Sah,2025-06-10 17:31:14,2025-06-12 11:37:03,2025-06-12 11:37:03,24684332520,TaffHOME Timer Masak Dapur Magnetic Stopwatch Kitchen Timer - JS-113,147404904208,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,20000,4,limwenjin6,limwenjin6,,79104536,,Komisi Produk Penjual,73600,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,WhatsApp,6%,0,,,
25061075AKV9WM,Selesai,Sah,2025-06-10 16:17:23,2025-06-13 16:19:38,2025-06-13 16:19:38,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,195967376230,Perlengkapan Rumah,Lampu,,,13100,2,interspaceindonesia2,interspaceindonesia2,,79104187,,Komisi Produk Penjual,24890,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Others,6%,0,,,
25061075AKV9WM,Selesai,Sah,2025-06-10 16:17:23,2025-06-13 16:19:38,2025-06-13 16:19:38,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,195967376231,Perlengkapan Rumah,Lampu,,,13200,2,interspaceindonesia2,interspaceindonesia2,,79104187,,Komisi Produk Penjual,25080,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Others,6%,0,,,
25061075AKV9WM,Selesai,Sah,2025-06-10 16:17:23,2025-06-13 16:19:38,2025-06-13 16:19:38,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,195967376232,Perlengkapan Rumah,Lampu,,,13100,2,interspaceindonesia2,interspaceindonesia2,,79104187,,Komisi Produk Penjual,24890,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Others,6%,0,,,
25061075AKV9WM,Selesai,Sah,2025-06-10 16:17:23,2025-06-13 16:19:38,2025-06-13 16:19:38,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13500,2,interspaceindonesia2,interspaceindonesia2,,79104187,,Komisi Produk Penjual,25650,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Others,6%,0,,,
25061071SV42M0,Sedang Diproses,Tidak Sesuai,2025-06-10 15:14:20,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13500,1,Mbu AlwiHaddad,endesitirodiyah,,79104187,,Komisi Produk Penjual,11260,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Pesanan tidak sesuai,WhatsApp,6%,0,,,
25061071SV42M0,Sedang Diproses,Tidak Sesuai,2025-06-10 15:14:20,,,27857394271,TaffHOME Lis Penghalang Serangga Bawah Pintu Door Bottom Seal 1M - LQ7,233081483199,Perlengkapan Rumah,Furniture,Penahan Pintu,,17100,4,Mbu AlwiHaddad,endesitirodiyah,,79104773,,Komisi Produk Penjual,57045,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Pesanan tidak sesuai,WhatsApp,6%,0,,,
25061071CC39SM,Sedang Diproses,Sah,2025-06-10 15:06:47,,,27968323672,TaffPACK Tape Lakban PTFE Heat High Temperature Insulation 10M - TF10M,257081148369,Perlengkapan Rumah,Alat Pertukangan & Renovasi Rumah,Perekat & Tape,,15600,1,Rida Rindianti,rida_rindianti,,79104144,,Komisi Produk Penjual,15288,0,Pesanan Tidak Langsung,0,0,10%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Facebook,10%,0,,,
25061071CC39SM,Sedang Diproses,Sah,2025-06-10 15:06:47,,,27968323673,TaffPACK Lakban Heat Resistant Polyimide High Temperature Adhesive,257081148471,Perlengkapan Rumah,Alat Pertukangan & Renovasi Rumah,Perekat & Tape,,17100,1,Rida Rindianti,rida_rindianti,,79104134,,Komisi Produk Penjual,16758,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Facebook,6%,0,,,
2506106WJ26GQ3,Selesai,Tidak Sesuai,2025-06-10 13:58:23,2025-06-13 00:23:39,2025-06-11 13:40:29,24684332520,TaffHOME Timer Masak Dapur Magnetic Stopwatch Kitchen Timer - JS-113,147404904208,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,20000,3,tr12.shop,anisarachmaa,,79104536,,Komisi Produk Penjual,60000,0,Pesanan Langsung,0,0,6%,0,0%,0,0,0,Pesanan tidak sesuai,Others,6%,0,,,
2506106U63AKXE,Sedang Diproses,Sah,2025-06-10 13:15:54,,,26006118256,Aswei Cetakan Kotak Penyimpanan Es Batu Jelly Kotak Double Layer 48 Grid Quick Press Dengan Tutup dan Pegangan,187669090673,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,96000,1,zaky royyan shop,mercy_kosmetik,,79104175,,Komisi Produk Penjual,91200,0,Pesanan Langsung,6384,6384,7%,0,0%,6384,6384,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,7%,7086,Menunggu Pemotongan,,
2506106PDYS9VV,Selesai,Sah,2025-06-10 11:50:50,2025-06-12 13:28:34,2025-06-12 13:28:34,28555948012,Tas Pendingin Pemanas Makanan Cooler Heater Bag Thermal Insulated Bag,233023801709,Perlengkapan Rumah,Perlengkapan Dapur,Tempat Penyimpanan Makanan,,15400,1,Yeppo Footwear,peekaboostore,Tiktech,79104118,,Komisi Produk Penjual,15400,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Others,6%,0,,,
2506106JT8M32F,Selesai,Sah,2025-06-10 10:46:06,2025-06-11 22:43:30,2025-06-11 22:43:30,28707645950,AsyPets Ember Lipat Water Bucket Foldable Collapsible 10L - ST362,195303552446,Perlengkapan Rumah,Perawatan Rumah,"Basin, Ember, & Gayung Air",,69800,1,talya,talyaolshopmakassar,,79104890,,Komisi Produk Penjual,64216,0,Pesanan Langsung,3852.96,3852.96,6%,0,0%,7606.51,7606.51,0,,Shopeevideo-Shopee,6%,4277,Telah Dipotong,Pemotongan dari Pelepasan Dana,2025-06-11 22:43:57
2506106JT8M32F,Selesai,Sah,2025-06-10 10:46:06,2025-06-11 22:43:30,2025-06-11 22:43:30,26182581758,TaffLED Lampu Meja Belajar 3in1 Color Desk Lamp 30 LED Rechargeable - T1901,128291051178,Perlengkapan Rumah,Lampu,,,81600,1,talya,talyaolshopmakassar,,95226026,,Komisi Produk Penjual,75071,0,Pesanan Langsung,3753.55,3753.55,5%,0,0%,0,0,0,,Shopeevideo-Shopee,5%,4166,Telah Dipotong,Pemotongan dari Pelepasan Dana,2025-06-11 22:43:57
2506106EDK9BQU,Selesai,Sah,2025-06-10 09:27:27,2025-06-13 06:18:01,2025-06-13 06:18:01,26006118256,Aswei Cetakan Kotak Penyimpanan Es Batu Jelly Kotak Double Layer 48 Grid Quick Press Dengan Tutup dan Pegangan,187669090673,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,96000,1,ginanoviantika,ginanoviantika,,79104175,,Komisi Produk Penjual,91200,0,Pesanan Langsung,6384,6384,7%,0,0%,6384,6384,0,,Shopeevideo-Shopee,7%,7086,Menunggu Pemotongan,,
25061067K2W45M,Sedang Diproses,Sah,2025-06-10 07:25:15,,,27408827034,TaffSTUDIO Alas Putar Fotografi Suede Rotating 360 Turntable 20cm - QM104712,158759213263,Kamera & Drone,Aksesoris Kamera,Lighting & Perlengkapan Studio Foto,,130800,1,Nanda Arsyinta,nandaamh,,79104407,,Komisi Produk Penjual,124260,0,Pesanan Tidak Langsung,0,0,7%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Instagram,7%,0,,,
2506105BBP5R0R,Sedang Diproses,Sah,2025-06-09 23:00:02,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,195967376232,Perlengkapan Rumah,Lampu,,,13100,1,DMC456,dmc456,,79104187,,Komisi Produk Penjual,13100,0,Pesanan Langsung,786,786,6%,0,0%,786,786,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,6%,872,Menunggu Pemotongan,,
25060959Y0MTD5,Selesai,Sah,2025-06-09 22:35:03,2025-06-13 17:33:10,2025-06-13 17:33:10,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,195967376232,Perlengkapan Rumah,Lampu,,,13100,1,Mitgo,kartik14534,,79104187,,Komisi Produk Penjual,13100,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Others,6%,0,,,
2506095729R1U1,Selesai,Sah,2025-06-09 21:43:12,2025-06-14 16:57:36,2025-06-14 16:57:36,27408827034,TaffSTUDIO Alas Putar Fotografi Suede Rotating 360 Turntable 20cm - QM104712,158759213263,Kamera & Drone,Aksesoris Kamera,Lighting & Perlengkapan Studio Foto,,130800,1,Holly Shop,mekanikashop,,79104407,,Komisi Produk Penjual,130800,0,Pesanan Langsung,9156,9156,7%,0,0%,9156,9156,0,,Shopeelive-Shopee,7%,10163,Menunggu Pemotongan,,
25060951JVECVC,Sedang Diproses,Sah,2025-06-09 20:05:07,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13500,1,Ifa shoop,galeri__aksesoris,FEB Digital Agency,79104187,,Komisi Produk Penjual,13500,0,Pesanan Langsung,810,810,6%,0,0%,810,810,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,6%,899,Menunggu Pemotongan,,
2506094JU7MADM,Sedang Diproses,Sah,2025-06-09 15:41:21,,,27383171195,TaffLED 4 in 1 Senter Laser Pointer Pen dan Stylus - T0054 / Taffled Laser,253161266686,Elektronik,Proyektor & Aksesoris,Pointer,,14900,1,brebet.id,hasna.widiawati,,95959491,,Komisi Produk Penjual,14900,0,Pesanan Langsung,745,745,5%,0,0%,745,745,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeelive-Shopee,5%,827,Menunggu Pemotongan,,
2506094EBQN40K,Dibatalkan,Sah,2025-06-09 14:21:05,,,26006118256,Aswei Cetakan Kotak Penyimpanan Es Batu Jelly Kotak Double Layer 48 Grid Quick Press Dengan Tutup dan Pegangan,187669090673,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,96000,0,Hanny,shanda7,,79104175,,Komisi Produk Penjual,0,91200,Pesanan Langsung,0,0,7%,0,0%,0,0,0,Pesanan dibatalkan oleh Pembeli,Shopeevideo-Shopee,7%,0,,,
2506094DHTWBWE,Selesai,Sah,2025-06-09 14:06:37,2025-06-12 12:20:38,2025-06-12 12:20:38,27205950510,[BISA COD] Taffhome Bel Pintu Rumah Tanpa Kabel 36 Nada Wireless Door Bell Waterproof EU Plug,236570580263,Elektronik,Kelistrikan,Bel,,65000,1,Mitgo,kartik14534,,79104169,,Komisi Produk Penjual,65000,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Others,6%,0,,,
25060944T3RRC8,Sedang Diproses,Sah,2025-06-09 11:30:10,,,28906313440,Anuoxin Cetakan Es Batu Jelly Kotak 28 Grid Quick Press with Shovel - F28,108414215543,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,46100,1,Suka Main,sukamain_dk,,79104768,,Komisi Produk Penjual,46100,0,Pesanan Langsung,2766,2766,6%,0,0%,2766,2766,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,6%,3070,Menunggu Pemotongan,,
2506093XF924H0,Selesai,Sah,2025-06-09 09:36:44,2025-06-14 00:01:12,2025-06-14 00:01:12,28555948012,Tas Pendingin Pemanas Makanan Cooler Heater Bag Thermal Insulated Bag,233023801710,Perlengkapan Rumah,Perlengkapan Dapur,Tempat Penyimpanan Makanan,,23800,1,Ahmad setiawan,ahmad.setiawan03,,79104118,,Komisi Produk Penjual,23800,0,Pesanan Langsung,1428,1428,6%,0,0%,1428,1428,0,,Shopeevideo-Shopee,6%,1585,Menunggu Pemotongan,,
2506093VXA5XFK,Selesai,Tidak Sesuai,2025-06-09 09:09:21,2025-06-12 01:32:27,2025-06-10 14:34:13,27408827034,TaffSTUDIO Alas Putar Fotografi Suede Rotating 360 Turntable 20cm - QM104712,158759213263,Kamera & Drone,Aksesoris Kamera,Lighting & Perlengkapan Studio Foto,,130800,1,ranita2,ranita2,,79104407,,Komisi Produk Penjual,125569,0,Pesanan Langsung,0,0,7%,0,0%,0,0,0,Pesanan tidak sesuai,WhatsApp,7%,0,,,
2506093KC9SAMR,Sedang Diproses,Sah,2025-06-09 06:18:14,,,27658831945,Taffware Peralatan Reparasi Jam Tangan Watch Repair Tool Kit Set,226685582816,Jam Tangan,Aksesoris Jam Tangan,Alat Servis Jam Tangan,,99300,1,Mitgo,kartik14534,,79104290,,Komisi Produk Penjual,94335,0,Pesanan Tidak Langsung,0,0,"7,5%",0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,"7,5%",0,,,
25060932P6Y3VT,Selesai,Sah,2025-06-09 01:19:32,2025-06-12 13:29:47,2025-06-12 13:29:47,27658831945,Taffware Peralatan Reparasi Jam Tangan Watch Repair Tool Kit Set,226685582816,Jam Tangan,Aksesoris Jam Tangan,Alat Servis Jam Tangan,,99300,1,Riski Pradana,riskipraadana,,79104290,,Komisi Produk Penjual,94335,0,Pesanan Langsung,7075.125,7075.125,"7,5%",0,0%,7075.125,7075.125,0,,Shopeevideo-Shopee,"7,5%",7853,Menunggu Pemotongan,,
2506092YSD9DUD,Selesai,Tidak Sesuai,2025-06-09 00:27:38,2025-06-12 20:43:31,2025-06-10 14:34:13,28707645950,AsyPets Ember Lipat Water Bucket Foldable Collapsible 10L - ST362,195303552446,Perlengkapan Rumah,Perawatan Rumah,"Basin, Ember, & Gayung Air",,69800,1,onegoodthings_,vinaif,,79104890,,Komisi Produk Penjual,69800,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Pesanan tidak sesuai,WhatsApp,6%,0,,,
2506092W5YWDU6,Selesai,Sah,2025-06-08 23:41:00,2025-06-11 12:45:49,2025-06-11 12:45:49,26006118256,Aswei Cetakan Kotak Penyimpanan Es Batu Jelly Kotak Double Layer 48 Grid Quick Press Dengan Tutup dan Pegangan,187669090673,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,96000,1,Maulina Rizki,maulinarizki,,79104175,,Komisi Produk Penjual,86000,0,Pesanan Langsung,6020,6020,7%,0,0%,6020,6020,0,,Shopeevideo-Shopee,7%,6682,Telah Dipotong,Pemotongan dari Pelepasan Dana,2025-06-11 12:52:31
2506082SDVK1KY,Dibatalkan,Sah,2025-06-08 22:33:49,,,40451588111,TaffSTUDIO Alas Putar Fotografi Rotating Display Stand Base 13.5cm,275129372340,Kamera & Drone,Aksesoris Kamera,Lighting & Perlengkapan Studio Foto,,84000,0,Verenfadillah,verenfadillah,,105143957,,Komisi Produk Penjual,0,79800,Pesanan Langsung,0,0,5%,0,0%,0,0,0,Pesanan tidak sesuai,Shopeevideo-Shopee,5%,0,,,
2506082RB4M6X7,Selesai,Sah,2025-06-08 22:14:23,2025-06-13 15:22:09,2025-06-13 15:22:09,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,195967376230,Perlengkapan Rumah,Lampu,,,13100,1,YouTube Shopping,youtube_shopping_id,,79104187,,Komisi Produk Penjual,13100,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,YouTube,6%,0,,,
2506082RB4M6X7,Selesai,Sah,2025-06-08 22:14:23,2025-06-13 15:22:09,2025-06-13 15:22:09,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,195967376231,Perlengkapan Rumah,Lampu,,,13200,1,YouTube Shopping,youtube_shopping_id,,79104187,,Komisi Produk Penjual,13200,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,YouTube,6%,0,,,
2506082RB4M6X7,Selesai,Sah,2025-06-08 22:14:23,2025-06-13 15:22:09,2025-06-13 15:22:09,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13500,1,YouTube Shopping,youtube_shopping_id,,79104187,,Komisi Produk Penjual,13500,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,YouTube,6%,0,,,
2506082Q15UD64,Selesai,Sah,2025-06-08 21:50:55,2025-06-11 23:50:01,2025-06-11 23:50:01,24684332520,TaffHOME Timer Masak Dapur Magnetic Stopwatch Kitchen Timer - JS-113,147404904208,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,20000,1,Anita Feta,anitafeta,,79104536,,Komisi Produk Penjual,17999,0,Pesanan Langsung,1079.94,1079.94,6%,0,0%,1079.94,1079.94,0,,Others,6%,1199,Telah Dipotong,Pemotongan dari Pelepasan Dana,2025-06-11 23:50:27
2506082N26Q1RX,Selesai,Sah,2025-06-08 21:15:42,2025-06-12 21:49:48,2025-06-12 21:49:48,26657097063,TaffHOME Tutup Pintu Otomatis Automatic Door Closer 800g - MO-206,246325225003,Perlengkapan Rumah,Furniture,Penahan Pintu,,20900,1,serbaada,serbaadaofc,,79104660,,Komisi Produk Penjual,20900,0,Pesanan Langsung,1254,1254,6%,0,0%,1254,1254,0,,Shopeevideo-Shopee,6%,1392,Menunggu Pemotongan,,
2506082EV9BPUQ,Sedang Diproses,Sah,2025-06-08 19:25:01,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13300,2,IDE TUBE,idetube,,79104187,,Komisi Produk Penjual,26600,0,Pesanan Langsung,1596,1596,6%,0,0%,1596,1596,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,6%,1772,Menunggu Pemotongan,,
2506082D1PE13S,Selesai,Sah,2025-06-08 18:52:15,2025-06-13 08:21:16,2025-06-13 08:21:16,27205950510,[BISA COD] Taffhome Bel Pintu Rumah Tanpa Kabel 36 Nada Wireless Door Bell Waterproof EU Plug,236570580263,Elektronik,Kelistrikan,Bel,,65000,1,xtend1234,xtend1234,,79104169,,Komisi Produk Penjual,65000,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Others,6%,0,,,
2506081YSSCTPR,Selesai,Sah,2025-06-08 14:55:12,2025-06-13 04:20:49,2025-06-13 04:20:49,27205950510,[BISA COD] Taffhome Bel Pintu Rumah Tanpa Kabel 36 Nada Wireless Door Bell Waterproof EU Plug,236570580263,Elektronik,Kelistrikan,Bel,,65000,1,SpallSpill676 🌸,spallspill676,,79104169,,Komisi Produk Penjual,65000,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,WhatsApp,6%,0,,,
2506081XNEWH00,Selesai,Sah,2025-06-08 14:34:52,2025-06-12 20:59:11,2025-06-12 20:59:11,26006118256,Aswei Cetakan Kotak Penyimpanan Es Batu Jelly Kotak Double Layer 48 Grid Quick Press Dengan Tutup dan Pegangan,187669090673,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,103600,1,Gwyn,gwyn.k,,79104175,,Komisi Produk Penjual,88060,0,Pesanan Tidak Langsung,0,0,7%,0,0%,0,0,0,,Instagram,7%,0,,,
2506081P4CDDDS,Selesai,Sah,2025-06-08 12:02:09,2025-06-11 05:04:49,2025-06-11 05:04:49,27205950510,[BISA COD] Taffhome Bel Pintu Rumah Tanpa Kabel 36 Nada Wireless Door Bell Waterproof EU Plug,236570580263,Elektronik,Kelistrikan,Bel,,65000,1,Tokko sejahtera,tokkosejahtera,,79104169,,Komisi Produk Penjual,58495,0,Pesanan Langsung,3509.7,3509.7,6%,0,0%,4541.1,4541.1,0,,Shopeevideo-Shopee,6%,3896,Telah Dipotong,Pemotongan dari Pelepasan Dana,2025-06-11 05:05:14
2506081P4CDDDS,Selesai,Sah,2025-06-08 12:02:09,2025-06-11 05:04:49,2025-06-11 05:04:49,24434677061,GOOI Pinset Siku Stainless Steel Laboratorium - TS-15,185305619374,Perawatan & Kecantikan,Alat Kecantikan,Alat Penghilang Bulu Rambut,,5300,1,Tokko sejahtera,tokkosejahtera,,79104545,,Komisi Produk Penjual,4771,0,Pesanan Langsung,286.26,286.26,6%,0,0%,0,0,0,,Shopeevideo-Shopee,6%,318,Telah Dipotong,Pemotongan dari Pelepasan Dana,2025-06-11 05:05:14
2506081P4CDDDS,Selesai,Sah,2025-06-08 12:02:09,2025-06-11 05:04:49,2025-06-11 05:04:49,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13800,1,Tokko sejahtera,tokkosejahtera,,79104187,,Komisi Produk Penjual,12419,0,Pesanan Langsung,745.14,745.14,6%,0,0%,0,0,0,,Shopeevideo-Shopee,6%,827,Telah Dipotong,Pemotongan dari Pelepasan Dana,2025-06-11 05:05:14
2506081KVC81BU,Selesai,Sah,2025-06-08 11:21:53,2025-06-10 16:22:20,2025-06-10 16:22:20,27658831945,Taffware Peralatan Reparasi Jam Tangan Watch Repair Tool Kit Set,157812316470,Jam Tangan,Aksesoris Jam Tangan,Alat Servis Jam Tangan,,48900,1,brebet.id,hasna.widiawati,,79104290,,Komisi Produk Penjual,39120,0,Pesanan Langsung,2934,2934,"7,5%",0,0%,6198,6198,0,,Shopeelive-Shopee,"7,5%",3257,Telah Dipotong,Pemotongan dari Pelepasan Dana,2025-06-10 17:58:14
2506081KVC81BU,Selesai,Sah,2025-06-08 11:21:53,2025-06-10 16:22:20,2025-06-10 16:22:20,28655950618,OTOHEROES Sikat Pembersih Interior Mobil Duster Brush 5 PCS - Q129,215257723783,Mobil,Perawatan Kendaraan,Perawatan Interior,,13600,4,brebet.id,hasna.widiawati,,79104796,,Komisi Produk Penjual,54400,0,Pesanan Langsung,3264,3264,6%,0,0%,0,0,0,,Shopeelive-Shopee,6%,3623,Telah Dipotong,Pemotongan dari Pelepasan Dana,2025-06-10 17:58:14
2506081F054UCP,Selesai,Sah,2025-06-08 09:54:31,2025-06-13 18:20:38,2025-06-13 18:20:38,26618199030,Holajaju Cover Sepatu Pelindung Anti Air Hujan PVC 1 Pair with Buckle,109325548994,Sepatu Wanita,Boots,Sepatu Boot Hujan,,50100,1,vevesales123,vevesales123,,79104162,,Komisi Produk Penjual,50100,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Others,6%,0,,,
2506081EWF8S1J,Selesai,Sah,2025-06-08 09:53:01,2025-06-10 19:18:36,2025-06-10 19:18:36,27205950510,[BISA COD] Taffhome Bel Pintu Rumah Tanpa Kabel 36 Nada Wireless Door Bell Waterproof EU Plug,236570580263,Elektronik,Kelistrikan,Bel,,65000,1,Nur Hidayat,nurhidayat498,,79104169,,Komisi Produk Penjual,61750,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Instagram,6%,0,,,
2506081539PWVP,Selesai,Sah,2025-06-08 06:57:19,2025-06-13 11:39:23,2025-06-13 11:39:23,27634128136,Emergency Selimut Camping Thermal 130 x 210 cm - Aluminimum Blanket,253234139909,Olahraga & Outdoor,Alat Rekreasi Olahraga & Aktivitas Outdoor,Camping & Hiking,,6700,2,brebet.id,hasna.widiawati,,97448167,,Komisi Produk Penjual,13400,0,Pesanan Langsung,670,670,5%,0,0%,670,670,0,,Shopeelive-Shopee,5%,744,Menunggu Pemotongan,,
2506080T0E7MV6,Selesai,Sah,2025-06-08 03:38:52,2025-06-12 08:52:14,2025-06-12 08:52:14,27205950510,[BISA COD] Taffhome Bel Pintu Rumah Tanpa Kabel 36 Nada Wireless Door Bell Waterproof EU Plug,236570580263,Elektronik,Kelistrikan,Bel,,65000,1,deniaseptiana,deniaseptiana,,79104169,,Komisi Produk Penjual,65000,0,Pesanan Langsung,3900,3900,6%,0,0%,3900,3900,0,,Shopeelive-Shopee,6%,4329,Menunggu Pemotongan,,
